"Group","Loom1RT","Loom2RT","Loom3RT","Loom4RT","Loom5RT"
"4",60.018,10.18,60.015,30.478,4.088
"2",24.488,16.009,59.973,14.76,17.212
"3",13.503,10.129,60.014,60.012,11.429
"3",8.401,9.819,45.569,41.212,13.677
"1",50.265,12.545,60.017,60.003,8.545
"2",51.496,60.012,56.535,35.264,12.968
"1",60.008,60.008,46.898,60.009,40.757
"1",14.167,37.205,5.42,60.003,10.313
"4",23.3,8.059,17.088,19.871,8.2
"4",22.807,25.84,13.028,18.57,7.836
"2",6.536,15.33,16.828,8.837,8.219
"4",23.676,7.748,14.62,8.672,5.264
"2",34.22,8.881,8.484,60.007,7.239
"3",6.045,25.449,15.073,16.876,5.045
"1",60.009,34.298,20.25,37.598,18.304
"3",32.551,9.428,38.186,60.004,20.069
"2",22.965,6.962,19.961,12.488,6.335
"1",18.021,29.966,11.811,10.896,48.406
"1",14.604,18.788,17.084,18.412,8.29
"1",14.356,7.057,7.469,9.308,7.537
"2",10.69,24.248,34.138,9.711,35.654
"4",60.009,9.814,27.857,12.416,2.612
"3",33.473,60.006,60.005,59.05,22.797
"1",35.141,6.506,28.209,16.267,36.43
"1",60.004,60.009,7.335,60.004,23.113
"2",55.18,21.456,60.005,60.005,10.101
"1",11.808,36.747,11.071,60.016,10.767
"3",59.999,60.009,60.013,60.013,21.69
"3",5.997,34.388,19.922,11.239,18.084
"1",21.001,60.013,60.014,60.009,60.013
"4",9.62,5.234,6.813,19.349,3.322
"2",11.639,3.773,8.303,29.211,4.922
"2",21.621,11.475,4.27,32.409,8.715
"2",24.492,30.441,37.908,24.177,4.724
"4",33.818,11.271,41.167,31.906,19.492
"4",60.001,9.376,31.097,60.001,42.412
"3",10.678,22.433,60.016,60.015,38.621
"3",16.892,4.934,53.81,35.155,30.053
"1",50.467,60.013,35.529,52.074,30.36
"3",17.489,60.013,60.013,29.304,60.013
"1",36.989,60.012,6.681,60.026,60.005
"3",26.564,35.525,60.027,58.14,9.371
"4",23.797,8.426,9.61,20.237,4.476
"4",9.05,4.259,9.459,12.387,2.502
"2",9.031,15.393,29.086,5.523,11.959
"2",26.122,18.506,21.342,14.64,6.924
"1",26.765,9.381,19.877,60.023,9.573
"4",60.032,3.951,38.559,22.834,16.931
"1",53.706,15.454,20.643,44.115,8.093
"2",60.004,32.468,39.531,36.083,5.203
"3",6.787,60.017,60.008,60.01,60.011
"4",41.227,4.814,25.413,30.149,3.586
"2",14.713,8.18,59.997,11.96,8.964
"3",14.869,55.024,60.009,21.699,5.201
"1",50.541,11.088,14.847,54.913,18.807
"1",39.519,20.711,60.013,40.244,8.08
"2",10.17,6.849,14.703,4.494,15.094
"2",4.102,17.355,20.545,8.784,27.592
"3",17.78,60.008,42.496,21.708,4.979
"2",15.411,46.953,10.707,56.763,8.823
"4",60.006,12.239,6.094,20.059,4.935
"3",21.878,12.037,16.324,19.078,11.077
"3",25.664,29.264,43.792,48.242,36.065
"4",60.006,5.617,60.01,33.314,5.892
"1",45.582,53.448,60.009,17.02,25.397
"1",60.013,60.009,14.12,60.022,9.117
"1",60.01,25.186,60.015,60.012,24.148
