"Group","Image","ReactionTime"
3,"Disapp5RT",5.518
1,"Disapp5RT",10.254
2,"Disapp5RT",9.195
3,"Disapp5RT",11.057
1,"Disapp5RT",12.358
2,"Disapp5RT",35.956
1,"Disapp5RT",4.964
1,"Disapp5RT",28.734
2,"Disapp5RT",8.222
2,"Disapp5RT",33.25
3,"Disapp5RT",38.434
3,"Disapp5RT",20.042
2,"Disapp5RT",10.741
1,"Disapp5RT",22.944
1,"Disapp5RT",3.682
2,"Disapp5RT",9.022
3,"Disapp5RT",3.999
3,"Disapp5RT",13.897
2,"Disapp5RT",13.669
3,"Disapp5RT",41.065
3,"Disapp5RT",4.896
1,"Disapp5RT",5.009
2,"Disapp5RT",60.011
2,"Disapp5RT",22.569
1,"Disapp5RT",13.984
3,"Disapp5RT",19.712
2,"Disapp5RT",8.415
1,"Disapp5RT",47.508
3,"Disapp5RT",46.161
1,"Disapp5RT",3.329
1,"Disapp5RT",12.694
3,"Disapp5RT",9.742
2,"Disapp5RT",4.27
2,"Disapp5RT",10.057
1,"Disapp5RT",12.391
3,"Disapp5RT",10.076
2,"Disapp5RT",29.758
1,"Disapp5RT",18.636
2,"Disapp5RT",56.416
2,"Disapp5RT",20.531
